,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size
Antenna_coverage,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
slot_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,0,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,0,1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,0,2,4,7,8,9,10,11,13,14,15,16,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,0,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,0,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,0,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,0,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
EPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD3830770CCDD0AD383001EE,,,,,,,,,,,,,,,,,,,,,,,,-76.75,,,,-75.0,,,,-76.5,,,,,,,,,,,,,,,,,,,,,0.3535533905932738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-77.0,,,,-75.0,,,,-76.5,,,,,,,,,,,,,,,,,,,,,,,,,-76.5,,,,-75.0,,,,-76.5,,,,,,,,,,,,,,,,,,,,,,,,,-76.75,,,,-75.0,,,,-76.5,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,1.0,
AD3830770CCDD0AD383001EF,,,,,,,,-73.0,,,,,,,-75.5,,-76.5,,,,,,,,,-62.5,-71.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.0,,,,,,,-75.5,,-76.5,,,,,,,,,-62.5,-71.5,,,,,,,,,,,,,,-73.0,,,,,,,-75.5,,-76.5,,,,,,,,,-62.5,-71.5,,,,,,,,,,,,,,-73.0,,,,,,,-75.5,,-76.5,,,,,,,,,-62.5,-71.5,,,,,,,,,,,,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,1.0,1.0,,,,,,
AD3830770CCDD0AD383001F1,,,,,,,,,-64.5,,,,,,,,,,,,,,,,,-67.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-64.5,,,,,,,,,,,,,,,,,-67.5,,,,,,,,,,,,,,,,-64.5,,,,,,,,,,,,,,,,,-67.5,,,,,,,,,,,,,,,,-64.5,,,,,,,,,,,,,,,,,-67.5,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,
AD3830770CCDD0AD383001F4,,,,,,,,,-71.5,,,,,,,,,,,,,,,,,-67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-71.5,,,,,,,,,,,,,,,,,-67.0,,,,,,,,,,,,,,,,-71.5,,,,,,,,,,,,,,,,,-67.0,,,,,,,,,,,,,,,,-71.5,,,,,,,,,,,,,,,,,-67.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,
AD3830770CCDD0AD383001F5,,,,,,,,,-69.5,,,,,,,,,,,,,,,,,,-63.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-69.5,,,,,,,,,,,,,,,,,,-63.5,,,,,,,,,,,,,,,-69.5,,,,,,,,,,,,,,,,,,-63.5,,,,,,,,,,,,,,,-69.5,,,,,,,,,,,,,,,,,,-63.5,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,
AD3830770CCDD0AD383001FA,,,,,,,,,-63.5,,,,,,,,,,,,,,,,,,-72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8284271247461903,,,,,,,,,,,,,,-63.5,,,,,,,,,,,,,,,,,,-74.0,,,,,,,,,,,,,,,-63.5,,,,,,,,,,,,,,,,,,-70.0,,,,,,,,,,,,,,,-63.5,,,,,,,,,,,,,,,,,,-72.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,
AD3830770CCDD0AD383001FC,,,,,,,,,-69.5,,,,,,,,,,,,,,,,,-51.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-69.5,,,,,,,,,,,,,,,,,-51.5,,,,,,,,,,,,,,,,-69.5,,,,,,,,,,,,,,,,,-51.5,,,,,,,,,,,,,,,,-69.5,,,,,,,,,,,,,,,,,-51.5,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,
AD3830770CCDD0AD38300202,,,,,,,,,-67.5,,,,,,,,,,,,,,,,,,-66.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.131727983645296,,,,,,,,,,,,,,-67.5,,,,,,,,,,,,,,,,,,-72.0,,,,,,,,,,,,,,,-67.5,,,,,,,,,,,,,,,,,,-60.5,,,,,,,,,,,,,,,-67.5,,,,,,,,,,,,,,,,,,-66.25,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,
AD3830770CCDD0AD38300205,,,,,,,,,-66.0,,,,,,,,,,,,,,,,,,-70.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66.0,,,,,,,,,,,,,,,,,,-70.5,,,,,,,,,,,,,,,-66.0,,,,,,,,,,,,,,,,,,-70.5,,,,,,,,,,,,,,,-66.0,,,,,,,,,,,,,,,,,,-70.5,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,
AD3830770CCDD0AD38300206,,,,,,,,,,,,,,,,,,,,,,,,,-73.5,,-65.0,,-76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.5,,-65.0,,-76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.5,,-65.0,,-76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.5,,-65.0,,-76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,
